ROOT_NOTE,SCALE_TYPE,NOTES
"C","Major","C, Dm, Em, F, G, Am, Bdim"
"C#","Major","Db, Ebm, Fm, Gb, Ab, Bbm, C"
"D","Major","D,Em, F#m, G, A, Bm, C#"
"D#","Major","Eb, Fm, Gm, Ab, Bb, Cm, D"
"E","Major","E, F#m, G#m, A, B, C#m, D#"
"F","Major","F, Gm, Am, Bb, C, Dm, E"
"F#","Major","F#, G#m, A#m, B, C#, D#m, E#"
"G","Major","G, Am, Bm, C, D, Em, F#"
"G#","Major","Ab, Bbm, Cm, Db, Eb, Fm, G"
"A","Major","A, Bm, C#m, D, E, F#m, G#"
"A#","Major","Bb, Cm, Dm, Eb, F, Gm, A"
"B","Major","B, C#m, D#m, E, F#, G#m, A#"
"C","Minor","Cm, D, Eb, Fm, Gm, Ab, Bb"
"C#","Minor","C#m, D#, E, F#m, G#m, A, B"
"D","Minor","Dm, Edim, F, Gm, Am, Bb, C"
"D#","Minor","Ebm, F, Gb, Abm, Bbm, Cb, Db"
"E","Minor","Em, F#, G, Am, Bm, C, D"
"F","Minor","Fm, G, Ab, Bbm, Cm, Db, Eb"
"F#","Minor","F#m, G#, A, Bm, C#m, D, E"
"G","Minor","Gm, A, Bb, Cm, Dm, Eb, F"
"G#","Minor","G#m, A#, B, C#m, D#m, E, F#"
"A","Minor","Am, Bdim, C, Dm, Em, F, G"
"A#","Minor","Bbm, C, Db, Ebm, Fm, Gb, Ab"
"B","Minor","Bm, C#, D, Em, F#m, G, A"